portfolio,expected_return,volatility,sharpe_ratio
Minimum-Variance (Constrained),0.873271558444469,1.5628971865032433,0.4767305879438477
Tangency (Constrained),2.2181695712564693,2.3884440232853335,0.8750378434888693
Equal-Weighted,0.7899133207160495,3.892333149685856,0.1700066853071052
